open,high,low,close,volume,vwap,timestamp,transactions
283.15,283.5,283.15,283.5,783.0,283.3898,2024-03-18 12:00:00,68
284.07,284.07,284.07,284.07,308.0,284.0288,2024-03-18 13:10:00,13
283.75,283.75,283.75,283.75,224.0,283.8552,2024-03-18 13:25:00,8
283.87,284.67,283.25,284.295,151711.0,283.9477,2024-03-18 13:30:00,2703
284.295,284.42,283.87,284.285,45995.0,284.0903,2024-03-18 13:35:00,1257
284.21,284.76,284.21,284.56,59775.0,284.4888,2024-03-18 13:40:00,1431
284.53,284.56,283.81,284.15,65748.0,284.1829,2024-03-18 13:45:00,1571
284.19,284.51,284.03,284.16,70928.0,284.2299,2024-03-18 13:50:00,1498
284.18,284.86,284.1596,284.8,48046.0,284.5145,2024-03-18 13:55:00,1340
284.86,285.07,284.76,284.9,45342.0,284.9053,2024-03-18 14:00:00,1460
284.9,285.07,284.735,285.0,32971.0,284.9077,2024-03-18 14:05:00,1044
284.95,285.0499,284.78,284.87,30778.0,284.9399,2024-03-18 14:10:00,1037
284.86,285.295,284.86,285.295,37300.0,285.0537,2024-03-18 14:15:00,933
285.32,285.39,285.12,285.39,26636.0,285.259,2024-03-18 14:20:00,884
285.43,285.48,285.24,285.32,46002.0,285.349,2024-03-18 14:25:00,896
285.37,285.48,285.25,285.36,40301.0,285.3691,2024-03-18 14:30:00,876
285.39,285.47,285.23,285.27,23279.0,285.3463,2024-03-18 14:35:00,734
285.26,285.35,284.97,285.035,27436.0,285.2035,2024-03-18 14:40:00,825
285.06,285.27,285.0,285.2,49930.0,285.1049,2024-03-18 14:45:00,992
285.19,285.68,285.15,285.68,39810.0,285.344,2024-03-18 14:50:00,863
285.69,286.0,285.68,286.0,57601.0,285.7705,2024-03-18 14:55:00,1030
286.0,286.0,285.69,285.83,37246.0,285.8497,2024-03-18 15:00:00,894
285.795,285.86,285.72,285.81,34462.0,285.8099,2024-03-18 15:05:00,769
285.78,285.82,285.64,285.74,26753.0,285.7232,2024-03-18 15:10:00,793
285.715,285.92,285.65,285.83,32369.0,285.774,2024-03-18 15:15:00,759
