gvkey,datadate,fyear,dltt,dlc,dd1,dd2,dd3,dd4,dd5,ticker,conm
117768,2025-01-31,2024,9982.0,288.0,288.0,1000.0,0.0,1250.0,0.0,NVDA,NVIDIA CORP
339965,2025-01-31,2024,2649.347,35.923,35.923,,,,,SNOW,SNOWFLAKE INC
157855,2025-01-31,2024,11154.0,916.0,916.0,244.0,71.0,2529.0,12.0,CRM,SALESFORCE INC
035005,2025-01-31,2024,37.406,,,,,,,ZM,ZOOM COMMUNICATIONS INC
064768,2024-12-31,2024,138000.0,17401.0,17250.0,4760.0,10590.0,3895.0,4562.0,AMZN,AMAZON.COM INC
006008,2024-12-31,2024,46561.0,3910.0,3910.0,2606.0,3842.0,3179.0,3288.0,INTC,INTEL CORP
023650,2024-12-31,2024,190.0,936.0,936.0,0.0,0.0,0.0,0.0,SHOP,SHOPIFY INC
024616,2024-12-31,2024,10526.0,1331.0,1331.0,1403.0,506.0,242.0,1500.0,PYPL,PAYPAL HOLDINGS INC
036910,2024-12-31,2024,195.226,43.993,43.993,0.0,0.0,0.0,0.0,PLTR,PALANTIR TECHNOLOG INC
001161,2024-12-31,2024,2212.0,109.0,109.0,0.0,0.0,0.0,0.0,AMD,ADVANCED MICRO DEVICES
147579,2024-12-31,2024,15782.039,2212.935,2212.935,1000.0,1346.0,3500.0,4081.0,NFLX,NETFLIX INC
160329,2024-12-31,2024,24016.0,4121.0,4121.0,2208.0,1208.0,197.0,166.0,GOOGL,ALPHABET INC
170617,2024-12-31,2024,47751.0,2018.0,2018.0,68.0,2818.0,1568.0,1064.0,META,META PLATFORMS INC
184996,2024-12-31,2024,10360.0,3263.0,3263.0,4116.0,699.0,243.0,95.0,TSLA,TESLA INC
012540,2024-11-30,2024,4482.0,1574.0,1574.0,0.0,1350.0,0.0,750.0,ADBE,ADOBE INC
180711,2024-10-31,2024,67438.0,1478.0,1478.0,3160.0,11735.0,4272.0,12657.0,AVGO,BROADCOM INC
001690,2024-09-30,2024,96548.0,22511.0,12544.0,12473.0,9995.0,7838.0,5189.0,AAPL,APPLE INC
024800,2024-09-30,2024,13978.0,1462.0,1462.0,0.0,2000.0,1000.0,0.0,QCOM,QUALCOMM INC
012141,2024-06-30,2024,82981.0,14871.0,8178.0,6021.0,12287.0,3026.0,4514.0,MSFT,MICROSOFT CORP
157855,2024-01-31,2023,11673.0,1889.0,1889.0,342.0,230.0,52.0,2507.0,CRM,SALESFORCE INC
339965,2024-01-31,2023,254.037,33.944,33.944,0.0,0.0,0.0,0.0,SNOW,SNOWFLAKE INC
117768,2024-01-31,2023,9578.0,1478.0,1478.0,0.0,1000.0,0.0,1250.0,NVDA,NVIDIA CORP
035005,2024-01-31,2023,48.308,24.645,24.645,0.0,0.0,0.0,0.0,ZM,ZOOM COMMUNICATIONS INC
