keydevid,companyid,companyname,headline,keydeveventtypeid,eventtype,keydevtoobjectroletypeid,objectroletype,announcedate,announcetime,announcedatetimezone,announceddateutc,enterdate,entertime,entereddateutc,lastmodifieddate,lastmodifieddateutc,mostimportantdateutc,speffectivedate,sptodate,gvkey,sourcetypename,ticker,conm
1934211098.0,20765463.0,"Meta Platforms, Inc.","Meta Platforms, Inc. Presents at 2025 SXSW Conference & Exhibits, Mar-07-2025",51,Company Conference Presentations,1,Target,2025-03-07,16:41:00,Coordinated Universal Time,2025-03-07 16:41:00,2025-03-07,22:00:00,2025-03-08 03:00:00,2025-03-07 22:03:00,2025-03-08 03:03:00,2025-03-07 00:00:00,2025-03-08 03:15:14,,170617,MULTIPLE,META,META PLATFORMS INC
1933974511.0,275004592.0,Snowflake Inc.,Snowflake Announces Chief Revenue Officer Changes,16,Executive/Board Changes - Other,1,Target,2025-03-06,14:00:00,Coordinated Universal Time,2025-03-06 14:00:00,2025-03-06,09:39:00,2025-03-06 14:39:00,2025-03-06 09:41:00,2025-03-06 14:41:00,2025-03-06 14:00:00,2025-03-06 14:45:12,,339965,Business Wire,SNOW,SNOWFLAKE INC
1934000534.0,21835.0,Microsoft Corporation,The TCW Group Collaborates with Microsoft for AI-Driven Innovation in Portfolio Management Innovation Operational Efficiencies,23,Client Announcements,1,Target,2025-03-06,15:00:00,Coordinated Universal Time,2025-03-06 15:00:00,2025-03-06,13:07:00,2025-03-06 18:07:00,2025-03-06 13:09:00,2025-03-06 18:09:00,2025-03-06 15:00:00,2025-03-06 18:15:12,,012141,Business Wire,MSFT,MICROSOFT CORP
1934042331.0,25016048.0,Broadcom Inc.,"Broadcom Inc. Provides Earnings Guidance for the Second Quarter of Fiscal Year 2025, Ending May 4, 2025",29,Corporate Guidance - New/Confirmed,1,Target,2025-03-06,21:15:00,Coordinated Universal Time,2025-03-06 21:15:00,2025-03-06,22:53:00,2025-03-07 03:53:00,2025-03-06 22:55:00,2025-03-07 03:55:00,2025-03-06 21:15:00,2025-03-07 04:00:23,,180711,PR Newswire,AVGO,BROADCOM INC
1934012039.0,25016048.0,Broadcom Inc.,"Broadcom Inc. Reports Earnings Results for the First Quarter Ended February 02, 2025",28,Announcements of Earnings,1,Target,2025-03-06,21:15:00,Coordinated Universal Time,2025-03-06 21:15:00,2025-03-06,18:16:00,2025-03-06 23:16:00,2025-03-06 19:03:00,2025-03-07 00:03:00,2025-03-06 21:15:00,2025-03-07 00:15:10,,180711,S&P Capital IQ Financials Database,AVGO,BROADCOM INC
1934012039.0,25016048.0,Broadcom Inc.,"Broadcom Inc. Reports Earnings Results for the First Quarter Ended February 02, 2025",28,Announcements of Earnings,1,Target,2025-03-06,21:15:00,                              .,2025-03-06 21:15:00,2025-03-06,18:16:00,2025-03-06 23:16:00,2025-03-06 18:19:00,2025-03-06 23:19:00,2025-03-06 21:15:00,2025-03-06 23:30:14,2025-03-07 00:15:09,180711,S&P Capital IQ Financials Database,AVGO,BROADCOM INC
1933848208.0,24937.0,Apple Inc.,Apple Unveils New Mac Studio Featuring M4 Max and New M3 Ultra,41,Product-Related Announcements,1,Target,2025-03-05,14:00:00,Coordinated Universal Time,2025-03-05 14:00:00,2025-03-05,19:53:00,2025-03-06 00:53:00,2025-03-05 19:55:00,2025-03-06 00:55:00,2025-03-05 14:00:00,2025-03-06 01:00:22,,001690,Business Wire,AAPL,APPLE INC
1933916342.0,24937.0,Apple Inc.,"Apple Reveals M3 Ultra, Taking Apple Silicon to A New Extreme",41,Product-Related Announcements,1,Target,2025-03-05,14:00:00,Coordinated Universal Time,2025-03-05 14:00:00,2025-03-06,03:08:00,2025-03-06 08:08:00,2025-03-06 03:11:00,2025-03-06 08:11:00,2025-03-05 14:00:00,2025-03-06 08:15:12,,001690,Business Wire,AAPL,APPLE INC
1933860464.0,24937.0,Apple Inc.,Apple Introduces the New Macbook Air with the Surging Performance of the M4 Chip,41,Product-Related Announcements,1,Target,2025-03-05,14:00:00,Coordinated Universal Time,2025-03-05 14:00:00,2025-03-05,20:53:00,2025-03-06 01:53:00,2025-03-05 20:55:00,2025-03-06 01:55:00,2025-03-05 14:00:00,2025-03-06 02:00:18,,001690,Business Wire,AAPL,APPLE INC
1933860512.0,43580005.0,Palantir Technologies Inc.,Palantir Technologies Inc. and TWG Global Announce Joint Venture to Deploy AI Program Across Financial Services and Insurance,22,Strategic Alliances,1,Target,2025-03-05,11:59:00,Coordinated Universal Time,2025-03-05 11:59:00,2025-03-05,20:52:00,2025-03-06 01:52:00,2025-03-05 20:53:00,2025-03-06 01:53:00,2025-03-05 11:59:00,2025-03-06 02:00:18,,036910,Business Wire,PLTR,PALANTIR TECHNOLOG INC
1933778831.0,21835.0,Microsoft Corporation,Lloyd's Register to Use Generative AI to Advance the Application of Nuclear Technology in Maritime in Collaboration with Microsoft,23,Client Announcements,1,Target,2025-03-05,09:00:00,Coordinated Universal Time,2025-03-05 09:00:00,2025-03-05,04:55:00,2025-03-05 09:55:00,2025-03-05 09:35:00,2025-03-05 14:35:00,2025-03-05 09:00:00,2025-03-05 14:45:09,,012141,PR Newswire Europe,MSFT,MICROSOFT CORP
1933778831.0,21835.0,Microsoft Corporation,Lloyd's Register to Use Generative AI to Advance the Application of Nuclear Technology in Maritime in Collaboration with Microsoft,23,Client Announcements,1,Target,2025-03-05,09:00:00,Coordinated Universal Time,2025-03-05 09:00:00,2025-03-05,04:55:00,2025-03-05 09:55:00,2025-03-05 05:02:00,2025-03-05 10:02:00,2025-03-05 09:00:00,2025-03-05 10:15:14,2025-03-05 14:45:08,012141,PR Newswire Europe,MSFT,MICROSOFT CORP
