ticker,datadate,prccm,prchm,prclm,cshom
MSFT,2025-03-31,,,,
QCOM,2025-03-31,,,,
GOOGL,2025-03-31,,,,
NVDA,2025-03-31,,,,
META,2025-03-31,,,,
GOOG,2025-03-31,,,,
SNOW,2025-02-28,177.1,194.4,160.66,330100000.0
NFLX,2025-02-28,980.56,1064.5,955.0,427757000.0
AAPL,2025-02-28,241.84,250.0,225.7,15022073000.0
INTC,2025-02-28,23.73,27.55,18.78,4330000000.0
AMD,2025-02-28,99.86,119.85,98.69,1620478000.0
TSLA,2025-02-28,292.98,394.0,273.6,3216517000.0
QCOM,2025-02-28,157.17,177.0,153.4,1106000000.0
GOOG,2025-02-28,172.22,208.7,168.39,5497000000.0
META,2025-02-28,668.2,740.91,641.86,2189898000.0
NVDA,2025-02-28,124.92,143.44,113.01,24490000000.0
ZM,2025-02-28,73.7,88.62,72.28,262100000.0
PYPL,2025-02-28,71.05,89.71,69.682,989242000.0
AVGO,2025-02-28,199.43,237.9299,193.15,4687356000.0
MSFT,2025-02-28,396.99,419.31,386.57,7433982000.0
CRM,2025-02-28,297.85,348.04,292.1536,957000000.0
GOOGL,2025-02-28,170.28,207.05,166.77,5833000000.0
ADBE,2025-02-28,438.56,465.6999,430.88,435309000.0
SHOP,2025-02-28,112.0,129.38,107.0,1215528000.0
PLTR,2025-02-28,84.92,125.41,78.47,2248951000.0
AMZN,2025-02-28,212.28,242.52,204.16,10597729000.0
INTC,2025-01-31,19.43,22.41,18.73,4313000000.0
ADBE,2025-01-31,437.45,450.12,403.75,435309000.0
AAPL,2025-01-31,236.0,249.1,219.38,15037874000.0
META,2025-01-31,689.18,710.79,587.82,2180001000.0
AMD,2025-01-31,115.95,131.71,112.8,1622807000.0
TSLA,2025-01-31,404.6,439.74,373.04,3216517000.0
ZM,2025-01-31,86.94,88.9,76.38,262100000.0
AMZN,2025-01-31,237.68,241.77,216.2,10515011000.0
CRM,2025-01-31,341.7,367.09,313.8,957000000.0
NFLX,2025-01-31,976.76,999.0,823.519,427757000.0
NVDA,2025-01-31,120.07,153.13,116.25,24490000000.0
PYPL,2025-01-31,88.58,93.245,81.79,1002539000.0
SNOW,2025-01-31,181.51,188.4299,154.96,330100000.0
SHOP,2025-01-31,116.8,122.0,99.05,1212833000.0
MSFT,2025-01-31,415.06,448.38,410.72,7433982000.0
PLTR,2025-01-31,82.49,85.22,63.4,2180654000.0
GOOGL,2025-01-31,204.02,205.48,187.36,5843000000.0
AVGO,2025-01-31,221.27,249.59,196.23,4687356000.0
GOOG,2025-01-31,205.6,207.08,188.66,5534000000.0
QCOM,2025-01-31,172.93,176.79,152.79,1105392000.0
ZM,2024-12-31,81.61,87.72,81.27,262100000.0
MSFT,2024-12-31,421.5,456.1648,420.66,7434881000.0
AAPL,2024-12-31,250.42,260.1,237.16,15115823000.0
AMZN,2024-12-31,219.39,233.0,209.5101,10515011000.0
NVDA,2024-12-31,134.29,146.54,126.86,24490000000.0
PLTR,2024-12-31,75.63,84.7968,65.96,2180654000.0
ADBE,2024-12-31,444.68,557.8999,432.47,440200000.0
INTC,2024-12-31,20.05,25.48,18.9,4313000000.0
GOOGL,2024-12-31,189.3,201.42,168.57,5843000000.0
NFLX,2024-12-31,891.32,941.75,884.12,427458000.0
GOOG,2024-12-31,190.44,202.88,170.27,5534000000.0
SNOW,2024-12-31,154.41,186.9,153.12,330100000.0
AVGO,2024-12-31,231.84,251.88,162.75,4687356000.0
AMD,2024-12-31,120.79,144.12,117.9,1622807000.0
PYPL,2024-12-31,85.35,93.66,84.5,1002539000.0
TSLA,2024-12-31,403.84,488.5399,348.2,3210060000.0
META,2024-12-31,585.51,638.4,575.57,2180001000.0
CRM,2024-12-31,334.33,369.0,323.65,957000000.0
SHOP,2024-12-31,106.33,120.72,104.5,1212833000.0
QCOM,2024-12-31,153.62,165.0,149.43,1111000000.0
AAPL,2024-11-30,237.33,237.81,219.71,15115823000.0
TSLA,2024-11-30,345.16,361.93,238.88,3210060000.0
INTC,2024-11-30,24.05,26.43,21.91,4313000000.0
PLTR,2024-11-30,67.08,67.88,41.0315,2180654000.0
AVGO,2024-11-30,162.08,185.05,157.54,4670576000.0
PYPL,2024-11-30,86.77,88.74,76.46,1002539000.0
AMD,2024-11-30,137.175,150.71,132.96,1622807000.0
GOOGL,2024-11-30,168.95,182.49,163.7,5843000000.0
AMZN,2024-11-30,207.89,215.9,194.3101,10515011000.0
ADBE,2024-11-30,515.93,539.92,475.05,440200000.0
NFLX,2024-11-30,886.81,908.0,747.77,427458000.0
SHOP,2024-11-30,115.6,116.3502,77.7,1212830000.0
QCOM,2024-11-30,158.53,182.1,152.9505,1111000000.0
ZM,2024-11-30,82.69,92.8,74.52,262100000.0
GOOG,2024-11-30,170.49,184.025,165.31,5534000000.0
