,Ticker,Price/Book,EV/EBITDA
0,AAPL,48.58044,23.575
1,MSFT,9.4773035,20.293
2,GOOG,6.1591916,14.791
3,AMZN,7.154763,17.413
4,TSLA,10.24259,53.93
5,META,8.091988,17.29
6,NFLX,16.120407,37.8
7,NVDA,35.92407,33.409
8,AMD,2.8976445,32.024
9,BA,N/A,-18.439
10,V,17.630451,25.846
11,SPY,N/A,N/A
12,SPCE,0.41722122,-0.179
13,BABA,0.32980904,13.377
14,MSTR,3.947798,-43.356
15,DIS,1.7753077,12.154
16,PYPL,3.377423,11.218
17,SHOP,11.132952,91.456
18,COIN,4.5919,19.443
19,SQ,2.6906772,42.31
20,INTC,1.0732356,19.484
21,CSCO,5.3031096,17.456
22,IBM,8.402646,26.133
23,GE,11.278589,24.819
24,WMT,7.5888214,17.625
25,T,1.827432,7.949
