ticker,gvkey,conm
AAPL,001690,APPLE INC
ADBE,012540,ADOBE INC
AMD,001161,ADVANCED MICRO DEVICES
AMZN,064768,AMAZON.COM INC
AVGO,180711,BROADCOM INC
CRM,157855,SALESFORCE INC
GOOGL,160329,ALPHABET INC
INTC,006008,INTEL CORP
META,170617,META PLATFORMS INC
MSFT,012141,MICROSOFT CORP
NFLX,147579,NETFLIX INC
NVDA,117768,NVIDIA CORP
PLTR,036910,PALANTIR TECHNOLOG INC
PYPL,024616,PAYPAL HOLDINGS INC
QCOM,024800,QUALCOMM INC
SHOP,023650,SHOPIFY INC
SNOW,339965,SNOWFLAKE INC
TSLA,184996,TESLA INC
ZM,035005,ZOOM COMMUNICATIONS INC
